source_file,type,condition_id,adapter_path,num_samples,exact_match,fuzzy_exact_match,macro_f1,balance_due_imputed,date_anchor_errors,tier_temporal_active_fields,tier_temporal_macro_f1,tier_temporal_macro_precision,tier_temporal_macro_recall,tier_temporal_mean_cer,tier_financial_active_fields,tier_financial_macro_f1,tier_financial_macro_precision,tier_financial_macro_recall,tier_financial_mean_cer,tier_clinical_active_fields,tier_clinical_macro_f1,tier_clinical_macro_precision,tier_clinical_macro_recall,tier_clinical_mean_cer,tier_clinical_note,domain_Tier_A_Invoice_Style_num_samples,domain_Tier_B_Edge_Cases___CORD_num_samples,active_field_count,active_fields_sample,group
eval_condition_L9_N0.json,eval_condition,L9_N0,composed_L9_N0,226,0.0,0.3319,0.2783,13,10,['date'],0.7982,0.7965,0.8,,"['total_amount', 'balance_due']",0.5199,0.5293,0.5109,,[],,,,,No GT coverage in this test set for this tier,176,0,9,date;total_amount;balance_due;patient_name;philhealth_number;diagnosis_code;procedure_code;service_origin;philhealth_benefit,other
Eval_result\Eval_performance\letterboxed\eval_condition_final_res_E-epoch-1.5.json,eval_condition,final_res_E-epoch-1.5,C:\Users\Jacob\Documents\FineTune\Eval_result\final_res\paige-lora-condition-E-epoch-1.5,226,0.2257,0.3584,0.412,,,['date'],0.4176,0.3878,0.4524,,"['total_amount', 'balance_due']",0.4092,0.4335,0.3874,,[],,,,,No GT coverage in this test set for this tier,126,100,3,date;total_amount;balance_due,other
Eval_result\Eval_performance\letterboxed\eval_condition_final_res_E-epoch-1.json,eval_condition,final_res_E-epoch-1,C:\Users\Jacob\Documents\FineTune\Eval_result\final_res\paige-lora-condition-E-epoch-1,226,0.0531,0.1372,0.3468,,,['date'],0.5,0.4783,0.5238,,"['total_amount', 'balance_due']",0.2702,0.3131,0.2377,,[],,,,,No GT coverage in this test set for this tier,126,100,3,date;total_amount;balance_due,other
Eval_result\Eval_performance\letterboxed\eval_condition_final_res_E-epoch-2.json,eval_condition,final_res_E-epoch-2,C:\Users\Jacob\Documents\FineTune\Eval_result\final_res\paige-lora-condition-E-epoch-2,226,0.1239,0.2035,0.3707,,,['date'],0.4803,0.4379,0.5317,,"['total_amount', 'balance_due']",0.3159,0.3546,0.2847,,[],,,,,No GT coverage in this test set for this tier,126,100,3,date;total_amount;balance_due,other
Eval_result\Eval_performance\raw\eval_condition_final_res_E-epoch-1.5.json,eval_condition,final_res_E-epoch-1.5,C:\Users\Jacob\Documents\FineTune\Eval_result\final_res\paige-lora-condition-E-epoch-1.5,226,0.2212,0.3451,0.4165,,,['date'],0.4484,0.4065,0.5,,"['total_amount', 'balance_due']",0.4005,0.4221,0.381,,[],,,,,No GT coverage in this test set for this tier,,,3,date;total_amount;balance_due,other
Eval_result\Eval_performance\raw\eval_condition_final_res_E-epoch-1.json,eval_condition,final_res_E-epoch-1,C:\Users\Jacob\Documents\FineTune\Eval_result\final_res\paige-lora-condition-E-epoch-1,226,0.0487,0.1327,0.3658,,,['date'],0.5489,0.5214,0.5794,,"['total_amount', 'balance_due']",0.2743,0.3014,0.2516,,[],,,,,No GT coverage in this test set for this tier,,,3,date;total_amount;balance_due,other
Eval_result\Eval_performance\raw\eval_condition_FineTune_E-EPOCH-2.json,eval_condition,FineTune_E-EPOCH-2,Eval_result/final_res/paige-lora-condition-E-epoch-2,226,0.1195,0.2168,0.3904,,,['date'],0.5123,0.4591,0.5794,,"['total_amount', 'balance_due']",0.3295,0.3569,0.3059,,[],,,,,No GT coverage in this test set for this tier,,,3,date;total_amount;balance_due,other
Eval_result\Eval_performance\raw\eval_condition_FineTune_E-EPOCH-3.json,eval_condition,FineTune_E-EPOCH-3,Eval_result/final_res/paige-lora-condition-E-epoch-2,226,0.1195,0.2168,0.3904,,,['date'],0.5123,0.4591,0.5794,,"['total_amount', 'balance_due']",0.3295,0.3569,0.3059,,[],,,,,No GT coverage in this test set for this tier,,,3,date;total_amount;balance_due,other
Eval_result\Initial_res\1_epoch\eval_condition_1_epoch_E_intersectional.json,eval_condition,1_epoch_E,C:\Users\Jacob\Documents\FineTune\results\1_epoch\paige-lora-condition-E,226,0.0354,0.1372,0.4835,,,['date'],0.8594,0.8462,0.873,,"['total_amount', 'balance_due']",0.2956,0.3058,0.2862,,[],,,,,No GT coverage in this test set for this tier,,,3,date;total_amount;balance_due,other
Eval_result\Initial_res\scaled\eval_condition_scale_epoch_A_intersectional.json,eval_condition,scale_epoch_A,C:\Users\Jacob\Documents\FineTune\results\scale_epoch\paige-lora-condition-A,226,0.115,0.2478,0.1935,,,['date'],0.0829,0.0989,0.0714,,"['total_amount', 'balance_due']",0.2488,0.2893,0.2224,,[],,,,,No GT coverage in this test set for this tier,,,3,date;total_amount;balance_due,other
Eval_result\Initial_res\scaled\eval_condition_scale_epoch_E_intersectional.json,eval_condition,scale_epoch_E,C:\Users\Jacob\Documents\FineTune\results\scale_epoch\paige-lora-condition-E,226,0.0044,0.0221,0.0945,,,['date'],0.0096,0.012,0.0079,,"['total_amount', 'balance_due']",0.1369,0.2046,0.1056,,[],,,,,No GT coverage in this test set for this tier,,,3,date;total_amount;balance_due,other
